UNID,CobbleID,ArtID,FlakeClass,Length,Width,Thickness,SurfaceArea,Cortex,Cortex25,CSA,CSA25,Weight,Volume
101,1,1,core,69,52,23,3588,0.95,0.75,3408.6,2691,93,36.75889328
102,1,2,flake,67,36,13,2412,1,1,2412,2412,43,16.99604743
103,1,3,flake,68,31,17,2108,1,1,2108,2108,47,18.5770751
104,1,4,flake,25,19,5,475,0,0,0,0,3.0875,1.220355731
106,1,6,flake,23,16,6,368,0.25,0.25,92,92,2.8704,1.134545455
107,1,7,flake,15,12,3,180,1,1,180,180,0.702,0.277470356
108,1,8,flake,11,7,3,77,0,0,0,0,0.3003,0.118695652
109,1,9,flake,15,8,2,120,0,0,0,0,0.312,0.123320158
110,1,10,flake,16,5,4,80,0,0,0,0,0.416,0.164426877
111,1,11,flake,12,10,2,120,0,0,0,0,0.312,0.123320158
112,1,12,flake,30,14,3,420,0,0,0,0,1.638,0.64743083
201,2,1,core,48,32,18,1536,0.9,0.75,1382.4,1152,34,13.43873518
202,2,2,flake,54,29,17,1566,1,1,1566,1566,28,11.06719368
203,2,3,flake,43,19,9,817,0.9,0.75,735.3,612.75,6,2.371541502
204,2,4,flake,37,32,8,1184,0.2,0.25,236.8,296,6,2.371541502
205,2,5,flake,32,28,8,896,0,0,0,0,4,1.581027668
206,2,6,flake,29,20,9,580,0,0,0,0,5,1.976284585
207,2,7,flake,34,15,7,510,1,1,510,510,4.641,1.834387352
208,2,8,flake,26,13,5,338,1,1,338,338,2.197,0.868379447
209,2,9,flake,12,5,3,60,1,1,60,60,0.234,0.092490119
210,2,10,flake,16,7,4,112,1,1,112,112,0.5824,0.230197628
211,2,11,flake,18,13,6,234,0.25,0.25,58.5,58.5,1.8252,0.721422925
212,2,12,flake,23,9,3,207,0,0,0,0,0.8073,0.319090909
213,2,13,flake,28,4,2,112,0,0,0,0,0.2912,0.115098814
214,2,14,flake,17,11,3,187,0,0,0,0,0.7293,0.28826087
215,2,15,flake,13,9,2,117,0,0,0,0,0.3042,0.120237154
301,3,1,core,44,29,21,1276,0.9,0.75,1148.4,957,25,9.881422925
302,3,2,flake,39,29,15,1131,1,1,1131,1131,17,6.719367589
303,3,3,core,30,18,20,540,0.8,0.75,432,405,15,5.928853755
304,3,4,flake,42,22,9,924,1,1,924,924,9,3.557312253
305,3,5,flake,21,13,6,273,0.25,0.25,68.25,68.25,2.1294,0.841660079
306,3,6,flake,16,7,7,112,1,1,112,112,1.0192,0.40284585
307,3,7,flake,16,4,3,64,1,1,64,64,0.2496,0.098656126
308,3,8,flake,29,10,5,290,0,0,0,0,1.885,0.745059289
309,3,9,flake,23,6,10,138,0,0,0,0,1.794,0.709090909
310,3,10,flake,19,11,4,209,0,0,0,0,1.0868,0.429565217
311,3,11,flake,19,7,3,133,0,0,0,0,0.5187,0.205019763
312,3,12,flake,14,11,4,154,0,0,0,0,0.8008,0.316521739
313,3,13,flake,19,14,2,266,0,0,0,0,0.6916,0.273359684
401,4,1,core,38,35,12,1330,1,1,1330,1330,15,5.928853755
402,4,2,flake,48,37,15,1776,0.75,0.75,1332,1332,29,11.46245059
403,4,3,flake,38,34,17,1292,0.75,0.75,969,969,22,8.695652174
404,4,4,flake,32,25,9,800,1,1,800,800,5,1.976284585
405,4,5,flake,36,25,6,900,0,0,0,0,4,1.581027668
406,4,6,flake,22,8,8,176,1,1,176,176,1.8304,0.723478261
407,4,7,flake,24,14,6,336,0.5,0.75,168,252,2.6208,1.035889328
408,4,8,flake,21,11,9,231,0.25,0.25,57.75,57.75,2.7027,1.06826087
409,4,9,flake,16,12,4,192,0.25,0.25,48,48,0.9984,0.394624506
410,4,10,flake,19,15,3,285,0.1,0.25,28.5,71.25,1.1115,0.439328063
411,4,11,flake,19,9,3,171,0.1,0.25,17.1,42.75,0.6669,0.263596838
412,4,12,flake,19,8,3,152,0.1,0.25,15.2,38,0.5928,0.2343083
413,4,13,flake,23,13,5,299,0.1,0.25,29.9,74.75,1.9435,0.768181818
414,4,14,flake,15,5,2,75,0,0,0,0,0.195,0.077075099
415,4,15,flake,14,8,2,112,0,0,0,0,0.2912,0.115098814
416,4,16,flake,16,11,2,176,0,0,0,0,0.4576,0.180869565
