READ_ID,UNID,ART_ID,COBBLE_ID,Y,S
10101,101,1,1,8.26,0.61
10102,101,1,1,8.26,1.21
10103,101,1,1,8.26,0.3
10104,101,1,1,8.26,0.76
10105,101,1,1,8.26,0.01
10106,101,1,1,8.26,0.44
10107,101,1,1,8.26,0.46
10108,101,1,1,8.26,1.13
10109,101,1,1,8.26,0.95
10110,101,1,1,8.26,1.3
10111,101,1,1,8.26,1.66
10112,101,1,1,8.26,0.91
10113,101,1,1,8.26,0.48
10114,101,1,1,8.26,0.01
10115,101,1,1,8.26,0.01
10116,101,1,1,8.26,1.27
10117,101,1,1,8.26,0.01
10118,101,1,1,8.26,0.28
10119,101,1,1,8.26,0.63
10120,101,1,1,8.26,0.59
10121,101,1,1,8.26,1.51
10122,101,1,1,8.26,1.7
10123,101,1,1,8.26,2.2
10124,101,1,1,8.26,1.48
10125,101,1,1,8.26,0.6
10126,101,1,1,8.26,0.42
10127,101,1,1,8.26,0.41
10128,101,1,1,8.26,0.23
10129,101,1,1,8.26,1.18
10130,101,1,1,8.26,2.29
10131,101,1,1,8.26,1.89
10132,101,1,1,8.26,1.79
10133,101,1,1,8.26,0.62
10134,101,1,1,8.26,0.27
10135,101,1,1,8.26,1.21
10136,101,1,1,8.26,1.9
10137,101,1,1,8.26,1.67
10138,101,1,1,8.26,1.48
10139,101,1,1,8.26,1.65
10140,101,1,1,8.26,1
10141,101,1,1,8.26,0.53
10142,101,1,1,8.26,1.69
10143,101,1,1,8.26,1.58
10144,101,1,1,8.26,0.99
10145,101,1,1,8.26,2
10146,101,1,1,8.26,2.58
10147,101,1,1,8.26,1.09
10148,101,1,1,8.26,1.19
10149,101,1,1,8.26,0.67
10150,101,1,1,8.26,0.98
10151,101,1,1,8.26,1.2
10152,101,1,1,8.26,1.37
10153,101,1,1,8.26,0.26
10154,101,1,1,8.26,1.03
10155,101,1,1,8.26,1.98
10156,101,1,1,8.26,2.35
10157,101,1,1,8.26,1.84
10158,101,1,1,8.26,1.71
10159,101,1,1,8.26,0.92
10160,101,1,1,8.26,0.01
10161,101,1,1,8.26,1.07
10162,101,1,1,8.26,0.59
10163,101,1,1,8.26,0.6
10164,101,1,1,8.26,1.85
10165,101,1,1,8.26,1.79
10166,101,1,1,8.26,2
10167,101,1,1,8.26,2.21
10168,101,1,1,8.26,1.3
10169,101,1,1,8.26,0.01
10170,101,1,1,8.26,0.48
10171,101,1,1,8.26,0.45
10172,101,1,1,8.26,0.63
10173,101,1,1,8.26,1.89
10174,101,1,1,8.26,2.63
10175,101,1,1,8.26,2.3
10176,101,1,1,8.26,1.59
10201,102,2,1,8.26,2.19
10202,102,2,1,8.26,0.59
10203,102,2,1,8.26,0.24
10204,102,2,1,8.26,0.22
10205,102,2,1,8.26,0.22
10206,102,2,1,8.26,0.01
10207,102,2,1,8.26,0.19
10208,102,2,1,8.26,0.54
10209,102,2,1,8.26,0.89
10210,102,2,1,8.26,1.71
10211,102,2,1,8.26,1.96
10212,102,2,1,8.26,1.04
10213,102,2,1,8.26,0.23
10214,102,2,1,8.26,0.1
10215,102,2,1,8.26,0.01
10216,102,2,1,8.26,0.01
10217,102,2,1,8.26,0.13
10218,102,2,1,8.26,0.41
10219,102,2,1,8.26,0.49
10220,102,2,1,8.26,0.38
10221,102,2,1,8.26,1.25
10222,102,2,1,8.26,1.88
10223,102,2,1,8.26,1.62
10224,102,2,1,8.26,0.66
10225,102,2,1,8.26,0.42
10226,102,2,1,8.26,0.52
10227,102,2,1,8.26,0.3
10228,102,2,1,8.26,0.01
10229,102,2,1,8.26,0.01
10230,102,2,1,8.26,0.28
10231,102,2,1,8.26,0.5
10232,102,2,1,8.26,0.72
10233,102,2,1,8.26,1.01
10234,102,2,1,8.26,1.59
10235,102,2,1,8.26,2.33
10236,102,2,1,8.26,2.15
10237,102,2,1,8.26,1.16
10238,102,2,1,8.26,0.38
10239,102,2,1,8.26,0.01
10240,102,2,1,8.26,0.18
10241,102,2,1,8.26,0.19
10242,102,2,1,8.26,0.37
10243,102,2,1,8.26,0.51
10244,102,2,1,8.26,0.94
10245,102,2,1,8.26,1.48
10246,102,2,1,8.26,1.62
10247,102,2,1,8.26,1.38
10248,102,2,1,8.26,0.76
10249,102,2,1,8.26,0.68
10250,102,2,1,8.26,0.38
10251,102,2,1,8.26,0.36
10252,102,2,1,8.26,0.11
10253,102,2,1,8.26,0.24
10254,102,2,1,8.26,0.19
10255,102,2,1,8.26,0.23
10256,102,2,1,8.26,0.42
10257,102,2,1,8.26,0.42
10258,102,2,1,8.26,0.62
10259,102,2,1,8.26,1.12
10260,102,2,1,8.26,2.12
10261,102,2,1,8.26,1.49
10262,102,2,1,8.26,0.92
10263,102,2,1,8.26,0.18
10264,102,2,1,8.26,0.72
10265,102,2,1,8.26,1.28
10266,102,2,1,8.26,2.13
10267,102,2,1,8.26,0.88
10268,102,2,1,8.26,0.85
10269,102,2,1,8.26,0.63
10270,102,2,1,8.26,0.8
10271,102,2,1,8.26,1.49
10272,102,2,1,8.26,0.64
10273,102,2,1,8.26,0.99
10274,102,2,1,8.26,0.72
10275,102,2,1,8.26,0.98
10276,102,2,1,8.26,0.89
10277,102,2,1,8.26,1.28
10278,102,2,1,8.26,0.81
10279,102,2,1,8.26,1.23
10280,102,2,1,8.26,2.4
10281,102,2,1,8.26,2.44
10282,102,2,1,8.26,1.77
10283,102,2,1,8.26,0.97
10284,102,2,1,8.26,0.71
10285,102,2,1,8.26,0.61
10286,102,2,1,8.26,0.26
10287,102,2,1,8.26,0.35
10288,102,2,1,8.26,1.78
10289,102,2,1,8.26,2.62
10290,102,2,1,8.26,2.18
10291,102,2,1,8.26,2.05
10292,102,2,1,8.26,1.71
10293,102,2,1,8.26,0.94
10294,102,2,1,8.26,0.43
10295,102,2,1,8.26,0.12
10296,102,2,1,8.26,0.01
10297,102,2,1,8.26,1.18
10298,102,2,1,8.26,1.67
10299,102,2,1,8.26,2.23
10300,102,2,1,8.26,2.15
10301,102,2,1,8.26,1.82
10302,102,2,1,8.26,1.82
10303,102,2,1,8.26,1.45
10304,102,2,1,8.26,0.34
10305,102,2,1,8.26,0.01
10306,102,2,1,8.26,0.02
10307,102,2,1,8.26,1.34
10308,102,2,1,8.26,1.7
10309,102,2,1,8.26,1.76
10310,102,2,1,8.26,1.97
10311,102,2,1,8.26,2.32
10312,102,2,1,8.26,2.04
10313,102,2,1,8.26,1.48
10314,102,2,1,8.26,0.23
10315,102,2,1,8.26,0.01
10316,102,2,1,8.26,0.13
10317,102,2,1,8.26,0.01
10318,102,2,1,8.26,1.22
10319,102,2,1,8.26,1.8
10320,102,2,1,8.26,2.1
10321,102,2,1,8.26,2.27
10322,102,2,1,8.26,1.59
10323,102,2,1,8.26,0.7
10324,102,2,1,8.26,0.01
10325,102,2,1,8.26,0.3
10326,102,2,1,8.26,0.61
10327,102,2,1,8.26,1.7
10328,102,2,1,8.26,2.09
10329,102,2,1,8.26,2.25
10330,102,2,1,8.26,2.56
10331,102,2,1,8.26,2.28
10332,102,2,1,8.26,1.7
10333,102,2,1,8.26,0.01
10334,102,2,1,8.26,0.39
10335,102,2,1,8.26,0.37
10336,102,2,1,8.26,0.71
10337,102,2,1,8.26,0.89
10338,102,2,1,8.26,1.7
10339,102,2,1,8.26,1.71
10340,102,2,1,8.26,1.2
10341,102,2,1,8.26,1.38
10301,103,3,1,8.26,2.03
10302,103,3,1,8.26,0.88
10303,103,3,1,8.26,0.35
10304,103,3,1,8.26,0.26
10305,103,3,1,8.26,0.13
10306,103,3,1,8.26,0.26
10307,103,3,1,8.26,0.43
10308,103,3,1,8.26,0.53
10309,103,3,1,8.26,0.55
10310,103,3,1,8.26,0.13
10311,103,3,1,8.26,0.39
10312,103,3,1,8.26,2.23
10313,103,3,1,8.26,2.6
10314,103,3,1,8.26,0.64
10315,103,3,1,8.26,0.55
10316,103,3,1,8.26,0.56
10317,103,3,1,8.26,0.59
10318,103,3,1,8.26,0.62
10319,103,3,1,8.26,0.38
10320,103,3,1,8.26,0.39
10321,103,3,1,8.26,0.05
10322,103,3,1,8.26,0.09
10323,103,3,1,8.26,0.56
10324,103,3,1,8.26,0.51
10325,103,3,1,8.26,0.7
10326,103,3,1,8.26,1
10327,103,3,1,8.26,1.45
10328,103,3,1,8.26,1.81
10329,103,3,1,8.26,1.38
10330,103,3,1,8.26,1.33
10331,103,3,1,8.26,1
10332,103,3,1,8.26,1.12
10333,103,3,1,8.26,0.01
10334,103,3,1,8.26,0.01
10335,103,3,1,8.26,0.62
10336,103,3,1,8.26,0.62
10337,103,3,1,8.26,0.68
10338,103,3,1,8.26,0.57
10339,103,3,1,8.26,0.7
10340,103,3,1,8.26,2.39
10341,103,3,1,8.26,2.92
10342,103,3,1,8.26,3.35
10343,103,3,1,8.26,0.24
10344,103,3,1,8.26,1.66
10345,103,3,1,8.26,0.98
10346,103,3,1,8.26,0.84
10347,103,3,1,8.26,1.69
10348,103,3,1,8.26,1.29
10349,103,3,1,8.26,0.66
10350,103,3,1,8.26,1.18
10351,103,3,1,8.26,1.24
10352,103,3,1,8.26,0.01
10353,103,3,1,8.26,0.49
10354,103,3,1,8.26,1.3
10355,103,3,1,8.26,1.82
10356,103,3,1,8.26,1.05
10357,103,3,1,8.26,1
10358,103,3,1,8.26,0.29
10359,103,3,1,8.26,1.64
10360,103,3,1,8.26,1.76
10361,103,3,1,8.26,1.59
10362,103,3,1,8.26,1.52
10363,103,3,1,8.26,1.02
10364,103,3,1,8.26,2.04
10365,103,3,1,8.26,2.07
10366,103,3,1,8.26,1.99
10367,103,3,1,8.26,2.14
10368,103,3,1,8.26,1.98
10369,103,3,1,8.26,1.58
10370,103,3,1,8.26,1.21
10371,103,3,1,8.26,1.13
10372,103,3,1,8.26,1.16
10373,103,3,1,8.26,1.36
10374,103,3,1,8.26,1.6
10375,103,3,1,8.26,2.1
10376,103,3,1,8.26,1.33
10377,103,3,1,8.26,0.01
10378,103,3,1,8.26,1.43
10379,103,3,1,8.26,2.15
10380,103,3,1,8.26,1.8
10381,103,3,1,8.26,1.22
10382,103,3,1,8.26,0.37
10383,103,3,1,8.26,3.32
10384,103,3,1,8.26,2.52
10385,103,3,1,8.26,1.8
10386,103,3,1,8.26,0.75
10387,103,3,1,8.26,0.58
10388,103,3,1,8.26,4.03
10389,103,3,1,8.26,0.2
10390,103,3,1,8.26,2.86
10391,103,3,1,8.26,3.1
10392,103,3,1,8.26,2.3
10393,103,3,1,8.26,0.56
10394,103,3,1,8.26,0.06
10395,103,3,1,8.26,2.45
10396,103,3,1,8.26,2.44
10397,103,3,1,8.26,1.98
10398,103,3,1,8.26,2.59
10399,103,3,1,8.26,3.08
10400,103,3,1,8.26,0.36
10401,103,3,1,8.26,1.3
10402,103,3,1,8.26,3.29
10403,103,3,1,8.26,3.03
10404,103,3,1,8.26,3.89
10405,103,3,1,8.26,3.25
10601,106,6,1,8.26,1.58
10701,107,7,1,8.26,0.89
10702,107,7,1,8.26,2.29
20101,201,1,2,8.26,0.96
20102,201,1,2,8.26,0.57
20103,201,1,2,8.26,0.26
20104,201,1,2,8.26,0.16
20105,201,1,2,8.26,0.77
20106,201,1,2,8.26,1.01
20107,201,1,2,8.26,1.09
20108,201,1,2,8.26,0.91
20109,201,1,2,8.26,0.24
20110,201,1,2,8.26,0.22
20111,201,1,2,8.26,0.16
20112,201,1,2,8.26,0.43
20113,201,1,2,8.26,1
20114,201,1,2,8.26,1.14
20115,201,1,2,8.26,0.63
20116,201,1,2,8.26,0.21
20117,201,1,2,8.26,0.1
20118,201,1,2,8.26,0.58
20119,201,1,2,8.26,0.87
20120,201,1,2,8.26,1.18
20121,201,1,2,8.26,0.42
20122,201,1,2,8.26,0.11
20123,201,1,2,8.26,0.12
20124,201,1,2,8.26,0.14
20125,201,1,2,8.26,0.57
20126,201,1,2,8.26,1.3
20127,201,1,2,8.26,1.49
20128,201,1,2,8.26,0.45
20129,201,1,2,8.26,0.26
20130,201,1,2,8.26,0.3
20131,201,1,2,8.26,0.28
20132,201,1,2,8.26,0.54
20133,201,1,2,8.26,1.5
20134,201,1,2,8.26,1.16
20135,201,1,2,8.26,1.03
20136,201,1,2,8.26,0.13
20137,201,1,2,8.26,0.54
20138,201,1,2,8.26,0.82
20139,201,1,2,8.26,1.75
20140,201,1,2,8.26,1.02
20141,201,1,2,8.26,0.58
20142,201,1,2,8.26,0.48
20143,201,1,2,8.26,0.79
20144,201,1,2,8.26,0.93
20145,201,1,2,8.26,1.23
20146,201,1,2,8.26,0.57
20147,201,1,2,8.26,0.31
20148,201,1,2,8.26,0.25
20149,201,1,2,8.26,0.36
20150,201,1,2,8.26,0.81
20151,201,1,2,8.26,1.42
20152,201,1,2,8.26,1.98
20153,201,1,2,8.26,1.8
20154,201,1,2,8.26,1.38
20155,201,1,2,8.26,0.77
20156,201,1,2,8.26,0.09
20157,201,1,2,8.26,0.01
20158,201,1,2,8.26,0.08
20159,201,1,2,8.26,1.92
20160,201,1,2,8.26,2.6
20161,201,1,2,8.26,3.59
20162,201,1,2,8.26,2.75
20163,201,1,2,8.26,2.46
20164,201,1,2,8.26,3.36
20165,201,1,2,8.26,3.23
20166,201,1,2,8.26,2.56
20167,201,1,2,8.26,1.05
20168,201,1,2,8.26,1.01
20169,201,1,2,8.26,0.86
20170,201,1,2,8.26,0.46
20171,201,1,2,8.26,2.26
20172,201,1,2,8.26,3.68
20173,201,1,2,8.26,2.93
20174,201,1,2,8.26,2
20175,201,1,2,8.26,1.89
20176,201,1,2,8.26,2.97
20177,201,1,2,8.26,3.65
20178,201,1,2,8.26,2.75
20179,201,1,2,8.26,1.53
20180,201,1,2,8.26,0.43
20181,201,1,2,8.26,0.96
20182,201,1,2,8.26,0.99
20183,201,1,2,8.26,0.45
20184,201,1,2,8.26,1.82
20185,201,1,2,8.26,3.46
20186,201,1,2,8.26,3.49
20187,201,1,2,8.26,2.93
20188,201,1,2,8.26,1.96
20189,201,1,2,8.26,1.93
20190,201,1,2,8.26,3.08
20191,201,1,2,8.26,3.87
20192,201,1,2,8.26,3.49
20193,201,1,2,8.26,2.53
20194,201,1,2,8.26,1.58
20195,201,1,2,8.26,0.66
20196,201,1,2,8.26,0.68
20197,201,1,2,8.26,1.48
20198,201,1,2,8.26,1.46
20199,201,1,2,8.26,1.34
20200,201,1,2,8.26,2.24
20201,201,1,2,8.26,3.17
20202,201,1,2,8.26,3.29
20203,201,1,2,8.26,1.6
20204,201,1,2,8.26,2.02
20205,201,1,2,8.26,3.16
20206,201,1,2,8.26,3.15
20207,201,1,2,8.26,1.78
20208,201,1,2,8.26,1.16
20209,201,1,2,8.26,1.78
20210,201,1,2,8.26,2.81
20211,201,1,2,8.26,1.17
20212,201,1,2,8.26,1.7
20201,202,2,2,8.26,1.2
20202,202,2,2,8.26,1.2
20203,202,2,2,8.26,1.42
20204,202,2,2,8.26,0.97
20205,202,2,2,8.26,0.5
20206,202,2,2,8.26,0.01
20207,202,2,2,8.26,0.7
20208,202,2,2,8.26,0.97
20209,202,2,2,8.26,3.14
20210,202,2,2,8.26,1.51
20211,202,2,2,8.26,1.85
20212,202,2,2,8.26,1.48
20213,202,2,2,8.26,0.65
20214,202,2,2,8.26,0.22
20215,202,2,2,8.26,0.28
20216,202,2,2,8.26,0.44
20217,202,2,2,8.26,0.56
20218,202,2,2,8.26,1.72
20219,202,2,2,8.26,1.67
20220,202,2,2,8.26,1.09
20221,202,2,2,8.26,0.66
20222,202,2,2,8.26,0.26
20223,202,2,2,8.26,0.22
20224,202,2,2,8.26,0.3
20225,202,2,2,8.26,0.27
20226,202,2,2,8.26,0.3
20227,202,2,2,8.26,0.93
20228,202,2,2,8.26,1.99
20229,202,2,2,8.26,2.08
20230,202,2,2,8.26,2.12
20231,202,2,2,8.26,1.33
20232,202,2,2,8.26,0.35
20233,202,2,2,8.26,0.19
20234,202,2,2,8.26,0.22
20235,202,2,2,8.26,0.17
20236,202,2,2,8.26,0.18
20237,202,2,2,8.26,0.38
20238,202,2,2,8.26,1.22
20239,202,2,2,8.26,0.48
20240,202,2,2,8.26,0.58
20241,202,2,2,8.26,0.36
20242,202,2,2,8.26,0.13
20243,202,2,2,8.26,0.12
20244,202,2,2,8.26,0.49
20245,202,2,2,8.26,1.59
20246,202,2,2,8.26,0.82
20247,202,2,2,8.26,0.98
20248,202,2,2,8.26,2.05
20249,202,2,2,8.26,2.18
20250,202,2,2,8.26,0.97
20251,202,2,2,8.26,0.55
20252,202,2,2,8.26,0.46
20253,202,2,2,8.26,0.42
20254,202,2,2,8.26,0.33
20255,202,2,2,8.26,0.82
20256,202,2,2,8.26,4.11
20257,202,2,2,8.26,3.98
20258,202,2,2,8.26,1.85
20259,202,2,2,8.26,0.38
20260,202,2,2,8.26,0.82
20261,202,2,2,8.26,1.49
20262,202,2,2,8.26,3.46
20263,202,2,2,8.26,3.43
20264,202,2,2,8.26,2.61
20265,202,2,2,8.26,1.42
20266,202,2,2,8.26,1.98
20267,202,2,2,8.26,2.72
20268,202,2,2,8.26,2.62
20269,202,2,2,8.26,2.64
20270,202,2,2,8.26,2.81
20271,202,2,2,8.26,2.78
20301,203,3,2,8.26,0.01
20302,203,3,2,8.26,0.34
20303,203,3,2,8.26,1.32
20401,204,4,2,8.26,1.03
20402,204,4,2,8.26,1.98
20403,204,4,2,8.26,1.56
20404,204,4,2,8.26,1.18
20405,204,4,2,8.26,0.86
20406,204,4,2,8.26,1.1
20407,204,4,2,8.26,1.48
20408,204,4,2,8.26,2.02
20409,204,4,2,8.26,1.71
20410,204,4,2,8.26,1.88
20411,204,4,2,8.26,1.86
20412,204,4,2,8.26,1.66
20413,204,4,2,8.26,0.97
20414,204,4,2,8.26,0.94
20415,204,4,2,8.26,0.82
20416,204,4,2,8.26,0.93
20417,204,4,2,8.26,1.88
20418,204,4,2,8.26,1.79
20419,204,4,2,8.26,1.63
20420,204,4,2,8.26,0.78
20421,204,4,2,8.26,2.62
20422,204,4,2,8.26,2.18
20423,204,4,2,8.26,2.07
20424,204,4,2,8.26,2.52
20425,204,4,2,8.26,2.36
20426,204,4,2,8.26,1.69
20701,207,7,2,8.26,1.68
20702,207,7,2,8.26,1.45
20703,207,7,2,8.26,1.43
20704,207,7,2,8.26,1.06
20705,207,7,2,8.26,0.81
20706,207,7,2,8.26,0.69
20707,207,7,2,8.26,1.13
20708,207,7,2,8.26,1.21
20709,207,7,2,8.26,1.42
20710,207,7,2,8.26,1.23
20711,207,7,2,8.26,1.15
20712,207,7,2,8.26,0.95
20713,207,7,2,8.26,0.88
20714,207,7,2,8.26,0.75
20715,207,7,2,8.26,0.83
20716,207,7,2,8.26,0.61
20717,207,7,2,8.26,2.01
20718,207,7,2,8.26,1.79
20801,208,8,2,8.26,1.66
20802,208,8,2,8.26,1.6
