CobbleID,DistanceBetweenLegs,Y,S
1,16.52,8.26,1.86
1,16.52,8.26,0.89
1,16.52,8.26,1.26
1,16.52,8.26,2.18
1,16.52,8.26,1.19
1,16.52,8.26,1.12
1,16.52,8.26,1.78
1,16.52,8.26,1.91
1,16.52,8.26,0.72
1,16.52,8.26,0.73
1,16.52,8.26,1.84
1,16.52,8.26,1.03
1,16.52,8.26,2.23
1,16.52,8.26,0.48
1,16.52,8.26,0.65
1,16.52,8.26,1.41
1,16.52,8.26,1.64
1,16.52,8.26,3.79
1,16.52,8.26,1.08
1,16.52,8.26,0.62
1,16.52,8.26,1.73
1,16.52,8.26,3.72
1,16.52,8.26,1.35
1,16.52,8.26,0.598
1,16.52,8.26,1.78
1,16.52,8.26,1.64
1,16.52,8.26,2.48
1,16.52,8.26,1.99
1,16.52,8.26,0.98
1,16.52,8.26,2.13
1,16.52,8.26,0.89
1,16.52,8.26,2.58
1,16.52,8.26,1.12
1,16.52,8.26,0.48
1,16.52,8.26,1.73
1,16.52,8.26,1.58
1,16.52,8.26,1.08
1,16.52,8.26,1.79
1,16.52,8.26,0.37
1,16.52,8.26,1.07
1,16.52,8.26,1.73
1,16.52,8.26,1.39
1,16.52,8.26,2
1,16.52,8.26,1.28
1,16.52,8.26,1.32
1,16.52,8.26,1.8
1,16.52,8.26,1.8
1,16.52,8.26,1.98
1,16.52,8.26,0.18
1,16.52,8.26,1.43
1,16.52,8.26,2.38
1,16.52,8.26,2.33
1,16.52,8.26,0.52
1,16.52,8.26,1.6
1,16.52,8.26,1.53
1,16.52,8.26,0.58
1,16.52,8.26,1.14
1,16.52,8.26,1.02
1,16.52,8.26,1.66
1,16.52,8.26,0.66
1,16.52,8.26,1.6
1,16.52,8.26,0.32
1,16.52,8.26,0.97
1,16.52,8.26,1.33
1,16.52,8.26,0.71
1,16.52,8.26,0.82
1,16.52,8.26,1.36
1,16.52,8.26,0.91
1,16.52,8.26,0.46
1,16.52,8.26,0.93
1,16.52,8.26,0.78
1,16.52,8.26,1.23
1,16.52,8.26,1.25
1,16.52,8.26,1.2
1,16.52,8.26,0.76
1,16.52,8.26,1.44
1,16.52,8.26,1.58
1,16.52,8.26,1.91
1,16.52,8.26,0.95
1,16.52,8.26,0.3
1,16.52,8.26,0.63
1,16.52,8.26,1.26
1,16.52,8.26,2.66
1,16.52,8.26,2.32
1,16.52,8.26,0.8
1,16.52,8.26,0.2
1,16.52,8.26,0.001
1,16.52,8.26,1.1
1,16.52,8.26,1.62
1,16.52,8.26,1.95
1,16.52,8.26,1.31
1,16.52,8.26,0.12
1,16.52,8.26,0.36
1,16.52,8.26,1.72
1,16.52,8.26,2.37
1,16.52,8.26,0.88
1,16.52,8.26,0.12
1,16.52,8.26,0.34
1,16.52,8.26,1.93
1,16.52,8.26,1.05
1,16.52,8.26,0.73
1,16.52,8.26,0.21
1,16.52,8.26,0.05
1,16.52,8.26,0.83
1,16.52,8.26,2.83
1,16.52,8.26,2.4
1,16.52,8.26,0.43
1,16.52,8.26,0.16
1,16.52,8.26,0.7
1,16.52,8.26,3.15
1,16.52,8.26,0.61
1,16.52,8.26,1.31
1,16.52,8.26,1.81
1,16.52,8.26,2.29
1,16.52,8.26,0.84
1,16.52,8.26,0.69
1,16.52,8.26,0.16
1,16.52,8.26,2.52
1,16.52,8.26,2.24
1,16.52,8.26,0.77
1,16.52,8.26,0.55
1,16.52,8.26,2.22
1,16.52,8.26,1.63
1,16.52,8.26,2.15
1,16.52,8.26,0.97
1,16.52,8.26,0.17
1,16.52,8.26,0.59
1,16.52,8.26,2.68
1,16.52,8.26,2.06
1,16.52,8.26,0.63
1,16.52,8.26,0.75
1,16.52,8.26,0.25
1,16.52,8.26,0.49
1,16.52,8.26,0.87
1,16.52,8.26,2.82
1,16.52,8.26,2.31
1,16.52,8.26,0.49
1,16.52,8.26,0.43
1,16.52,8.26,0.12
1,16.52,8.26,0.08
1,16.52,8.26,0.39
1,16.52,8.26,0.65
1,16.52,8.26,2.55
1,16.52,8.26,1.87
1,16.52,8.26,0.79
1,16.52,8.26,0.2
1,16.52,8.26,0.35
1,16.52,8.26,0.49
1,16.52,8.26,0.25
1,16.52,8.26,0.07
1,16.52,8.26,2.75
1,16.52,8.26,1.76
1,16.52,8.26,0.55
1,16.52,8.26,0.57
1,16.52,8.26,0.85
1,16.52,8.26,1.18
1,16.52,8.26,3.28
1,16.52,8.26,0.89
1,16.52,8.26,2.06
1,16.52,8.26,1.53
1,16.52,8.26,1.05
1,16.52,8.26,1.98
1,16.52,8.26,2.01
1,16.52,8.26,0.94
1,16.52,8.26,2.72
1,16.52,8.26,1.34
1,16.52,8.26,1.34
1,16.52,8.26,0.79
1,16.52,8.26,1.59
1,16.52,8.26,0.09
1,16.52,8.26,1.24
1,16.52,8.26,1.24
1,16.52,8.26,1.63
1,16.52,8.26,0.63
1,16.52,8.26,2.33
1,16.52,8.26,1
